timestamp,date,country,incidence, fatalities,recoveries
04/02/2020 12:00,04/02/2020,Belgium,1,0,
04/02/2020 12:00,04/02/2020,Cambodia,1,0,
04/02/2020 12:00,04/02/2020,Finland,1,0,
04/02/2020 12:00,04/02/2020,Nepal,1,0,
04/02/2020 12:00,04/02/2020,Spain,1,0,
04/02/2020 12:00,04/02/2020,Sri Lanka,1,0,
04/02/2020 12:00,04/02/2020,Sweden,1,0,
04/02/2020 16:00,04/02/2020,Mainland China,20461,425,
04/02/2020 16:00,04/02/2020,Thailand,25,0,
04/02/2020 16:00,04/02/2020,Singapore,24,0,
04/02/2020 16:00,04/02/2020,Japan,22,0,
04/02/2020 16:00,04/02/2020,Hong Kong,17,1,
04/02/2020 16:00,04/02/2020,South Korea,16,0,
04/02/2020 16:00,04/02/2020,Australia,13,0,
04/02/2020 16:00,04/02/2020,Germany,12,0,
04/02/2020 16:00,04/02/2020,United States,11,0,
04/02/2020 16:00,04/02/2020,Taiwan,11,0,
04/02/2020 16:00,04/02/2020,Macau,10,0,
04/02/2020 16:00,04/02/2020,Malaysia,10,0,
04/02/2020 16:00,04/02/2020,Vietnam,10,0,
04/02/2020 16:00,04/02/2020,France,6,0,
04/02/2020 16:00,04/02/2020,United Arab Emirates,5,0,
04/02/2020 16:00,04/02/2020,Canada,4,0,
04/02/2020 16:00,04/02/2020,India,3,0,
04/02/2020 16:00,04/02/2020,Italy,2,0,
04/02/2020 16:00,04/02/2020,Philippines,2,1,
04/02/2020 16:00,04/02/2020,Russia,2,0,
04/02/2020 16:00,04/02/2020,United Kingdom,2,0,
04/02/2020 16:00,04/02/2020,Belgium,1,0,
04/02/2020 16:00,04/02/2020,Cambodia,1,0,
04/02/2020 16:00,04/02/2020,Finland,1,0,
04/02/2020 16:00,04/02/2020,Nepal,1,0,
04/02/2020 16:00,04/02/2020,Spain,1,0,
04/02/2020 16:00,04/02/2020,Sri Lanka,1,0,
04/02/2020 16:00,04/02/2020,Sweden,1,0,
04/02/2020 20:00,04/02/2020,Mainland China,20493,425,
04/02/2020 20:00,04/02/2020,Thailand,25,0,
04/02/2020 20:00,04/02/2020,Singapore,24,0,
04/02/2020 20:00,04/02/2020,Japan,23,0,
04/02/2020 20:00,04/02/2020,Hong Kong,17,1,
04/02/2020 20:00,04/02/2020,South Korea,16,0,
04/02/2020 20:00,04/02/2020,Australia,13,0,
04/02/2020 20:00,04/02/2020,Germany,12,0,
04/02/2020 20:00,04/02/2020,Taiwan,11,0,
04/02/2020 20:00,04/02/2020,United States,11,0,
04/02/2020 20:00,04/02/2020,Macau,10,0,
04/02/2020 20:00,04/02/2020,Malaysia,10,0,
04/02/2020 20:00,04/02/2020,Vietnam,10,0,
04/02/2020 20:00,04/02/2020,France,6,0,
04/02/2020 20:00,04/02/2020,United Arab Emirates,5,0,
04/02/2020 20:00,04/02/2020,Canada,4,0,
04/02/2020 20:00,04/02/2020,India,3,0,
04/02/2020 20:00,04/02/2020,Italy,2,0,
04/02/2020 20:00,04/02/2020,Philippines,2,1,
04/02/2020 20:00,04/02/2020,Russia,2,0,
04/02/2020 20:00,04/02/2020,United Kingdom,2,0,
04/02/2020 20:00,04/02/2020,Belgium,1,0,
04/02/2020 20:00,04/02/2020,Cambodia,1,0,
04/02/2020 20:00,04/02/2020,Finland,1,0,
04/02/2020 20:00,04/02/2020,Nepal,1,0,
04/02/2020 20:00,04/02/2020,Spain,1,0,
04/02/2020 20:00,04/02/2020,Sri Lanka,1,0,
04/02/2020 20:00,04/02/2020,Sweden,1,0,
05/02/2020 08:00,05/02/2020,Mainland China,24337,491,
05/02/2020 08:00,05/02/2020,Japan,33,0,
05/02/2020 08:00,05/02/2020,Thailand,25,0,
05/02/2020 08:00,05/02/2020,Singapore,24,0,
05/02/2020 08:00,05/02/2020,Hong Kong,18,1,
05/02/2020 08:00,05/02/2020,South Korea,18,0,
